L,mlp_window_ms,stack_window_ms,gru_window_ms,transformer_window_ms,mamba_window_ms,mamba_stream_ms,gru_stream_ms
1,0.223,0.198,0.417,0.636,3.160,0.2420,0.0790
4,0.169,0.208,0.260,0.719,2.652,0.2718,0.1187
8,0.153,0.208,0.517,0.803,3.106,0.2833,0.0697
16,0.136,0.224,0.586,1.148,3.368,0.2813,0.1245
32,0.188,0.197,0.719,1.845,3.929,0.3024,0.1436
64,0.202,0.251,1.298,3.175,4.636,0.2879,0.1295
128,0.192,0.491,1.768,7.443,6.366,0.2917,0.1429
256,0.215,0.569,5.222,18.422,12.847,0.2681,0.1338
