iter,actor_grad_norm,critic_grad_norm,entropy,env_frames,explained_var,policy_loss,rollout_fps,train/stats.action_jerk,train/stats.action_rate,train/stats.action_smoothness,train/stats.d_hat_norm,train/stats.effort,train/stats.engage_frac,train/stats.episode_len,train/stats.filter_lambda,train/stats.first_viol_step,train/stats.gust_speed,train/stats.max_intrusion,train/stats.max_track_err,train/stats.min_wall_dist,train/stats.power_W,train/stats.return,train/stats.sat_frac,train/stats.tracking_error,train/stats.tracking_error_ema,train/stats.wall_correction,train/stats.wall_depth,train/stats.wall_viol_frac,train/stats.wall_violation,value_loss
18,8.439858436584473,0.5015696287155151,8.437334060668945,155648,0.9737057685852051,-0.00418770220130682,2220.7748008975004,5.733236789703369,3.311502695083618,-0.8301501274108887,119.85104370117188,5.9450459480285645,0.0,537.71044921875,0.0,140.53668212890625,0.5259714722633362,0.15042755007743835,2.6920807361602783,0.15201056003570557,38.05106735229492,101.4505844116211,0.3429487645626068,-765.3258666992188,1.9024111032485962,0.0,0.20448584854602814,0.2787903845310211,0.35521236062049866,0.07673314958810806
37,8.165557861328125,0.5847375392913818,8.43403434753418,311296,0.9803235530853271,-0.01102761086076498,2091.6684945247907,5.641960144042969,3.2577579021453857,-0.8175437450408936,115.62284088134766,5.909698963165283,0.0,543.938232421875,0.0,133.4478759765625,0.5194658637046814,0.16993850469589233,2.6371378898620605,0.154384046792984,39.34428405761719,97.14459228515625,0.3370605707168579,-751.8790893554688,1.8142800331115723,0.0,0.25559207797050476,0.2575035095214844,0.33976835012435913,0.04133740812540054
56,9.139074325561523,0.5434066653251648,8.311970710754395,466944,0.9929122924804688,-0.022212764248251915,2748.6165334370658,5.644844055175781,3.255269765853882,-0.8200404644012451,99.97346496582031,5.881545066833496,0.0,527.8151245117188,0.0,65.5999984741211,0.4996051788330078,0.06261727958917618,2.633084774017334,0.3674558103084564,39.553409576416016,117.87495422363281,0.33426210284233093,-711.6168823242188,1.9936026334762573,0.0,0.09969530999660492,0.12985554337501526,0.20000000298023224,0.005556411109864712
74,9.575482368469238,0.1305469274520874,8.141419410705566,614400,0.9945423007011414,-0.03353216499090195,2538.14297786686,5.481625556945801,3.169065475463867,-0.801716148853302,101.64482879638672,5.802176475524902,0.0,566.578125,0.0,24.40625,0.4727935791015625,0.01823357865214348,2.388068914413452,0.5558208227157593,42.49039077758789,152.9943389892578,0.33395373821258545,-680.2631225585938,1.7286906242370605,0.0,0.024317018687725067,0.050436511635780334,0.06640625,0.0018195027951151133
93,11.684123992919922,0.32555678486824036,8.005800247192383,770048,0.9959186315536499,-0.03693370148539543,2146.6027285682426,5.348357200622559,3.0815842151641846,-0.7714660167694092,115.27470397949219,6.002831935882568,0.0,582.4559326171875,0.0,9.084291458129883,0.534288227558136,0.006091225426644087,2.2489426136016846,0.6280984282493591,51.59736251831055,171.9677276611328,0.33997124433517456,-648.82568359375,1.5673619508743286,0.0,0.008414721116423607,0.01023877877742052,0.026819923892617226,0.0023804097436368465
112,12.221220970153809,0.6092658042907715,7.830779075622559,925696,0.9948800802230835,-0.028276316821575165,2606.3081162364056,5.188070297241211,3.011333703994751,-0.7489168643951416,118.1564712524414,6.377337455749512,0.0,581.7471313476562,0.0,14.080459594726562,0.5432673096656799,0.008902287110686302,2.2428908348083496,0.5859465003013611,61.340274810791016,177.98214721679688,0.3592372536659241,-629.4447631835938,1.6054902076721191,0.0,0.007138154469430447,0.019155228510499,0.030651340261101723,0.0041360389441251755
131,15.605897903442383,0.2562005817890167,7.710253715515137,1081344,0.9976718425750732,-0.026816582307219505,2309.4290177691314,5.147710800170898,2.974285840988159,-0.7126105427742004,114.98667907714844,7.147658824920654,0.0,575.2958984375,0.0,13.310861587524414,0.5418110489845276,0.011598770506680012,2.0689053535461426,0.6256349086761475,77.948974609375,190.83648681640625,0.3833615779876709,-569.7971801757812,1.6329630613327026,0.0,0.016458572819828987,0.016329383477568626,0.033707864582538605,0.0021751043386757374
150,16.266616821289062,0.1531251072883606,7.552689552307129,1236992,0.9978541135787964,-0.01566709391772747,2405.9327154196685,5.060401916503906,2.9311888217926025,-0.6799666881561279,121.00132751464844,8.018701553344727,0.0,584.6934814453125,0.0,10.528735160827637,0.5193941593170166,0.009381416253745556,1.903395175933838,0.6625492572784424,96.82249450683594,219.1796875,0.41010886430740356,-510.5583190917969,1.5428460836410522,0.0,0.004732770379632711,0.019116831943392754,0.02298850566148758,0.0018101325258612633
169,15.595930099487305,0.37267473340034485,7.453204154968262,1392640,0.9964464902877808,-0.03929029777646065,2496.4425196754514,5.071751117706299,2.9225516319274902,-0.6385002136230469,120.00636291503906,9.411178588867188,0.0,584.729736328125,0.0,23.779922485351562,0.5417143702507019,0.014322880655527115,1.797912359237671,0.6041618585586548,121.9029312133789,240.7117462158203,0.4552573561668396,-459.0565185546875,1.494856595993042,0.0,0.010006708092987537,0.04070381075143814,0.054054055362939835,0.00259877135977149
188,12.52470588684082,0.13081130385398865,7.340130805969238,1548288,0.9910235404968262,-0.0012406818568706512,2386.233448675963,4.96985387802124,2.8823509216308594,-0.6273683309555054,122.74760437011719,10.41179084777832,0.0,588.1609497070312,0.0,40.463600158691406,0.5311503410339355,0.03836417943239212,1.7533705234527588,0.567361056804657,138.8716278076172,251.4337615966797,0.4775726795196533,-432.1387939453125,1.484488844871521,0.0,0.03723941370844841,0.06696008145809174,0.08812260627746582,0.008276348933577538
206,15.227842330932617,0.11448140442371368,7.294262409210205,1695744,0.997654914855957,-0.019837042316794395,2318.8681610232343,4.927353858947754,2.8520267009735107,-0.6076496243476868,122.76564025878906,10.832249641418457,0.0,584.390625,0.0,58.26953125,0.5217163562774658,0.043871425092220306,1.8198356628417969,0.5639466643333435,147.12710571289062,254.7188262939453,0.4962064027786255,-426.7035827636719,1.557255744934082,0.0,0.021591516211628914,0.10223721712827682,0.1171875,0.002194870263338089
225,16.480419158935547,0.13480807840824127,7.219675540924072,1851392,0.9977914690971375,0.016487253829836845,2356.9829913079475,5.029937744140625,2.9029901027679443,-0.6113844513893127,125.84657287597656,11.6115083694458,0.0,578.490478515625,0.0,52.81368637084961,0.5591155290603638,0.04118657857179642,1.7182185649871826,0.55068439245224,155.1157989501953,264.9443054199219,0.5027057528495789,-400.5858459472656,1.3970986604690552,0.0,0.021842671558260918,0.08731242269277573,0.11787072569131851,0.0014833810273557901
244,17.857908248901367,0.17903479933738708,7.188318729400635,2007040,0.9972188472747803,-0.0032867062836885452,2375.1186710952156,5.060614585876465,2.922712802886963,-0.5889436602592468,120.51294708251953,12.964973449707031,0.0,585.038330078125,0.0,22.87739372253418,0.5554788708686829,0.030138522386550903,1.6213877201080322,0.6272953748703003,170.90188598632812,270.6258850097656,0.5346962809562683,-394.4746398925781,1.235613226890564,0.0,0.02908657304942608,0.043511226773262024,0.05747126415371895,0.0015001422725617886
263,17.5711727142334,0.14396733045578003,7.08050537109375,2162688,0.9973468780517578,-0.018391529098153114,3059.979447845211,5.116219520568848,2.9516165256500244,-0.5941784977912903,129.19935607910156,13.394009590148926,0.0,591.0076904296875,0.0,29.99615478515625,0.5489362478256226,0.020181043073534966,1.3875783681869507,0.6579645872116089,172.4717559814453,298.8560485839844,0.534016489982605,-342.7420959472656,1.0298559665679932,0.0,0.016024509444832802,0.0468558631837368,0.06538461893796921,0.0013973511522635818
282,17.724838256835938,0.11898785829544067,6.992483615875244,2318336,0.9962996244430542,-0.0172023456543684,2671.7036291237637,5.065480709075928,2.922645092010498,-0.5862677097320557,120.28343963623047,14.279586791992188,0.0,587.1583251953125,0.0,29.335906982421875,0.5541955828666687,0.036174509674310684,1.4288716316223145,0.6052417159080505,182.15440368652344,292.916015625,0.5475018620491028,-350.0534362792969,1.0467545986175537,0.0,0.031046370044350624,0.0511491559445858,0.06949806958436966,0.0015751429600641131
301,13.064496040344238,0.11447299271821976,6.907408714294434,2473984,0.9960100650787354,-0.010963895358145237,2740.1834257293517,4.946832656860352,2.8677845001220703,-0.5666427612304688,124.63056945800781,14.646986961364746,0.0,589.73583984375,0.0,24.20754623413086,0.5783321857452393,0.027175242081284523,1.3293477296829224,0.6315986514091492,190.40255737304688,308.9662170410156,0.5573229789733887,-316.2760925292969,0.8830288052558899,0.0,0.024449089542031288,0.0432397834956646,0.056603774428367615,0.003918560221791267
319,16.023332595825195,0.17527437210083008,6.8029279708862305,2621440,0.9952309131622314,0.0067605990916490555,2859.3247514549307,5.089139461517334,2.953514337539673,-0.6043360829353333,124.98799133300781,14.79908275604248,0.0,575.9961547851562,0.0,36.54198455810547,0.5321011543273926,0.040619850158691406,1.393875002861023,0.6055381298065186,182.33816528320312,308.7549743652344,0.5518814921379089,-302.54730224609375,0.9839310050010681,0.0,0.025093352422118187,0.06538571417331696,0.09541984647512436,0.003294615540653467
338,16.450763702392578,0.10796643048524857,6.784165382385254,2777088,0.9964311122894287,0.06095901131629944,3021.098190429818,4.8429975509643555,2.8143274784088135,-0.5454849600791931,124.83389282226562,15.469331741333008,0.0,571.1090087890625,0.0,32.23308181762695,0.5433611869812012,0.05108710005879402,1.43331778049469,0.592976987361908,208.1393280029297,309.99481201171875,0.5779442191123962,-296.66925048828125,1.0740164518356323,0.0,0.0401807501912117,0.05771861597895622,0.08646616339683533,0.0041923318058252335
357,17.634418487548828,0.09941019862890244,6.816583633422852,2932736,0.9974782466888428,-1.9099563360214233e-05,2700.415230135149,4.86356782913208,2.8100264072418213,-0.5686025619506836,131.88316345214844,14.396601676940918,0.0,574.1314086914062,0.0,32.284671783447266,0.5516207814216614,0.03825133293867111,1.3396620750427246,0.6323442459106445,193.83836364746094,321.3462219238281,0.559382975101471,-280.12939453125,0.9890097975730896,0.0,0.03139085695147514,0.06424162536859512,0.08394160866737366,0.0014286773512139916
376,18.305124282836914,0.12702518701553345,6.725530624389648,3088384,0.9976298809051514,-0.0020974595099687576,2439.6918104860365,4.768584251403809,2.7744579315185547,-0.5474372506141663,136.1917266845703,15.044509887695312,0.0,580.9154052734375,0.0,30.342308044433594,0.5393846035003662,0.0353424996137619,1.2724708318710327,0.6543394923210144,203.41090393066406,328.9001770019531,0.5739742517471313,-276.2258605957031,0.9603319764137268,0.0,0.02565879374742508,0.06161648780107498,0.07692307978868484,0.0009280766826122999
395,19.150630950927734,0.10703938454389572,6.648808479309082,3244032,0.9978000521659851,0.007851170375943184,2789.804210064551,4.831104278564453,2.790231227874756,-0.5443369746208191,138.32049560546875,15.1367769241333,0.0,590.8841552734375,0.0,13.162161827087402,0.5630271434783936,0.02381979487836361,1.1350123882293701,0.6986531615257263,205.5509490966797,350.10467529296875,0.5821211338043213,-259.70855712890625,0.7882131934165955,0.0,0.015453723259270191,0.03082597441971302,0.03474903479218483,0.000835477258078754
414,19.052688598632812,0.11991666257381439,6.641589164733887,3399680,0.9967065453529358,0.008827158249914646,2661.709892508709,4.802371501922607,2.7830770015716553,-0.5557226538658142,130.76658630371094,15.101776123046875,0.0,590.34326171875,0.0,23.8358211517334,0.5223523378372192,0.023883193731307983,1.1356008052825928,0.6808410286903381,201.43218994140625,354.6453552246094,0.5638502836227417,-251.526123046875,0.753206729888916,0.0,0.014335506595671177,0.04822007939219475,0.05223880708217621,0.0010826296638697386
433,17.456787109375,0.18928375840187073,6.519768714904785,3555328,0.9952426552772522,-0.007967682555317879,2486.524211601935,4.734456539154053,2.752577066421509,-0.5548326969146729,132.76881408691406,14.699488639831543,0.0,596.3053588867188,0.0,6.507633686065674,0.5525026917457581,0.002374607138335705,1.0468416213989258,0.7123198509216309,200.29290771484375,370.39190673828125,0.5642220377922058,-241.19190979003906,0.6518896818161011,0.0,0.0015141988405957818,0.006035024765878916,0.015267175622284412,0.001761225750669837
452,18.272720336914062,0.1938205063343048,6.4320855140686035,3710976,0.9947177171707153,0.017501845955848694,2673.575108710948,4.577322006225586,2.694535255432129,-0.5416778922080994,136.3665771484375,14.880558967590332,0.0,596.1712036132812,0.0,11.692606925964355,0.5740082859992981,0.013940692879259586,1.043589472770691,0.7149001359939575,203.3426055908203,371.5058898925781,0.5644869804382324,-233.7391357421875,0.6196483373641968,0.0,0.009080984629690647,0.020517930388450623,0.02723735384643078,0.0016361933667212725
471,19.650943756103516,0.08748288452625275,6.375200271606445,3866624,0.9965581893920898,0.004076970741152763,2716.5726355936717,4.711874008178711,2.7435271739959717,-0.5507564544677734,132.25433349609375,15.333547592163086,0.0,591.1804809570312,0.0,16.116540908813477,0.5643404126167297,0.030626730993390083,1.0493165254592896,0.7049369215965271,207.42677307128906,377.3600158691406,0.5664138793945312,-218.05270385742188,0.6489460468292236,0.0,0.014402396976947784,0.03892998769879341,0.04135338217020035,0.0011406777193769813
490,18.726503372192383,0.10552865266799927,6.334226608276367,4022272,0.9949979186058044,0.021989896893501282,3710.1711876807294,4.651779651641846,2.7030937671661377,-0.5400217771530151,129.840576171875,15.161515235900879,0.0,589.5606079101562,0.0,15.204545021057129,0.5317600965499878,0.027733854949474335,1.0807206630706787,0.6603360772132874,209.1326141357422,368.67626953125,0.5769700407981873,-232.21961975097656,0.6372345685958862,0.0,0.020040273666381836,0.034080203622579575,0.04545454680919647,0.002312403405085206
509,17.51397705078125,0.1728382408618927,6.3391313552856445,4177920,0.9946925640106201,0.034562405198812485,2050.7808618791237,4.679773807525635,2.726494789123535,-0.5360115170478821,130.1617889404297,16.229570388793945,0.0,580.5296020507812,0.0,18.38888931274414,0.5589781403541565,0.04015973582863808,1.115160584449768,0.6586475372314453,223.69700622558594,365.6117858886719,0.5892465114593506,-227.54171752929688,0.6590379476547241,0.0,0.027327431365847588,0.04782319441437721,0.06296296417713165,0.0019496462773531675
528,19.51082420349121,0.14374440908432007,6.323776721954346,4333568,0.9959595203399658,0.01256635133177042,2088.628141051966,4.604997158050537,2.660928726196289,-0.5122884511947632,127.20553588867188,16.185453414916992,0.0,578.9117431640625,0.0,16.584558486938477,0.5170292854309082,0.025699790567159653,1.0709717273712158,0.6981185078620911,227.9720458984375,372.62420654296875,0.5991304516792297,-214.8351287841797,0.666954517364502,0.0,0.01591869257390499,0.033103980123996735,0.05147058889269829,0.0012793708592653275
547,17.775245666503906,0.11278784275054932,6.268738269805908,4489216,0.9958434700965881,0.016782302409410477,2207.769239010204,4.5511345863342285,2.6361238956451416,-0.5167047381401062,129.68222045898438,16.5045223236084,0.0,593.6996459960938,0.0,5.403041839599609,0.5487795472145081,0.004307930823415518,0.9873591065406799,0.7351517677307129,230.09873962402344,387.2327880859375,0.5926039814949036,-214.96791076660156,0.5308554768562317,0.0,0.0024293235037475824,0.007604303304105997,0.015209125354886055,0.001652400242164731
566,21.579410552978516,0.1346835494041443,6.219216346740723,4644864,0.9971199035644531,0.015283389016985893,2129.3437184362883,4.606786251068115,2.6730682849884033,-0.5292918086051941,133.3019561767578,15.735254287719727,0.0,582.7862548828125,0.0,4.664122104644775,0.5504369139671326,0.010436834767460823,1.0204554796218872,0.714026153087616,216.21588134765625,379.1474914550781,0.5760231614112854,-210.15695190429688,0.5769627690315247,0.0,0.006919131148606539,0.022732287645339966,0.022900763899087906,0.000912128365598619
585,19.62399673461914,0.18396684527397156,6.188815116882324,4800512,0.9966276288032532,9.853951632976532e-05,2306.4558391020187,4.7047343254089355,2.738645076751709,-0.5462889075279236,140.0234375,15.502119064331055,0.0,589.969482421875,0.0,7.06488561630249,0.5812509059906006,0.012865064665675163,0.95469069480896,0.7288499474525452,213.38955688476562,391.5495910644531,0.5822873115539551,-201.70265197753906,0.4800927937030792,0.0,0.005013429559767246,0.01782071962952614,0.022900763899087906,0.0010310186771675944
